species,mean_dominant_fraction,mean_hue_dispersion,mean_n_significant_colors
Acanthurus_achilles,1.050961,1.019372,0.835876
Acanthurus_bariene,-0.188207,0.133690,0.778120
Acanthurus_blochii,0.980614,-1.796182,-2.365634
Acanthurus_chirurgus,-0.234820,-0.425370,0.030421
Acanthurus_dussumieri,-0.221620,0.229497,0.835876
Acanthurus_guttatus,0.167824,-0.770323,-0.053280
Acanthurus_japonicus,-1.082852,1.992553,1.744191
Acanthurus_leucocheilus,0.178804,-0.869966,-1.399563
Acanthurus_leucosternon,0.584432,2.439759,1.147779
Acanthurus_lineatus,-1.726729,3.012873,1.608134
Acanthurus_mata,-1.101349,-0.165004,0.293710
Acanthurus_monroviae,0.009750,-0.180984,-0.397654
Acanthurus_nigricans,1.006549,0.179677,0.448462
Acanthurus_nigricauda,-0.324017,-0.324514,0.448462
Acanthurus_nigrofuscus,0.034259,-0.014023,0.390707
Acanthurus_nubilus,-1.553745,-0.068817,1.044874
Acanthurus_olivaceus,0.156669,-0.176589,-1.399563
Acanthurus_pyroferus,-1.402771,1.762459,1.330416
Acanthurus_tennentii,-0.839172,-0.255380,0.762514
Acanthurus_triostegus,-0.438196,-1.256126,0.096887
Acanthurus_xanthopterus,-0.014377,-0.238072,0.162920
Ctenochaetus_binotatus,-1.447356,0.938631,0.899029
Ctenochaetus_cyanocheilus,0.655174,0.163270,-0.517609
Ctenochaetus_flavicauda,-1.560199,0.660554,0.573344
Ctenochaetus_hawaiiensis,-0.553463,-0.314279,0.011350
Ctenochaetus_striatus,-0.808002,-0.701476,-0.517609
Ctenochaetus_strigosus,1.086771,-0.900267,-2.365634
Ctenochaetus_tominiensis,0.348934,0.776651,0.404488
Ctenochaetus_truncatus,0.636589,-0.334679,-0.989139
Naso_annulatus,-0.353077,-0.492688,-0.517609
Naso_brachycentron,-0.674027,-1.564390,-0.205705
Naso_brevirostris,-0.496944,-1.040132,-0.185249
Naso_caesius,0.714797,-1.151258,-0.677235
Naso_fageni,-1.111156,-0.837589,0.800620
Naso_hexacanthus,1.637748,-0.711723,-1.096971
Naso_lituratus,1.713867,0.094685,-0.861238
Naso_minor,3.165285,-0.646496,-2.779409
Naso_tonganus,0.689432,-1.109596,-0.308610
Naso_tuberosus,1.589411,-0.696796,-1.871093
Naso_unicornis,0.324157,-0.578141,-0.023068
Naso_vlamingii,-0.221271,0.889984,0.953967
Paracanthurus_hepatus,0.537816,1.767093,0.293710
Prionurus_laticlavius,1.827115,0.062717,0.244861
Prionurus_microlepidotus,-0.866512,-0.783060,0.244861
Zebrasoma_desjardinii,-0.119334,0.385394,0.293710
Zebrasoma_flavescens,-0.049761,-0.493058,0.181708
Zebrasoma_gemmatum,-0.380388,0.753448,0.550333
Zebrasoma_scopas,-0.355013,0.922279,-0.135070
Zebrasoma_veliferum,-0.972600,0.712394,1.255611
